name,category,classification,item_type,unit_of_measure,is_trackable,description,condition,quantity,serial_number,expiration_date
ST Connector 1/2,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 103 pcs.,good,103,,
ST Connector 3/4,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 72 pcs.,good,72,,
ST Connector 1,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 40 pcs.,good,40,,
ST Connector 1 1/2,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 45 pcs.,good,45,,
ST Connector 1 1/4,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 30 pcs.,good,30,,
LQT Connector 1/2,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 95 pcs.,good,95,,
LQT Connector 3/4,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 84 pcs.,good,84,,
LQT Connector 1 1/2,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 63 pcs.,good,63,,
LQT Connector 2,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 55 pcs.,good,55,,
LQT Connector 1 1/4,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 81 pcs.,good,81,,
U-Bolt 1/2,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 60 pcs.,good,60,,
U-Bolt 3/4,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 52 pcs.,good,52,,
U-Bolt 1 1/4,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 73 pcs.,good,73,,
U-Bolt 1 1/2,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 86 pcs.,good,86,,
U-Bolt 1,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 85 pcs.,good,85,,
LQT Connector 1,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 75 pcs.,good,75,,
Metal Clamp 1/2,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 121 pcs.,good,121,,
Metal Clamp 3/4,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 95 pcs.,good,95,,
Metal Clamp 1,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 87 pcs.,good,87,,
Metal Clamp 1 1/2,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 67 pcs.,good,67,,
Metal Clamp 1 1/4,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 81 pcs.,good,81,,
Metal Clamp 2,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 66 pcs.,good,66,,
U-Bolt 2,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 87 pcs.,good,87,,
"Circuit Breaker (IC60N) 40A, 2P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 3 pcs.,good,3,,
"Circuit Breaker (IC60N) 32A, 2P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 3 pcs.,good,3,,
"Circuit Breaker (IC60N) 20A, 2P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 2 pcs.,good,2,,
"Circuit Breaker (IC60N) 40A, 3P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 2 pcs.,good,2,,
"Circuit Breaker (IC60N) 32A, 3P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 pc.,good,1,,
"Circuit Breaker (SASSIN) 20A, 1P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 pc.,good,1,,
"Circuit Breaker (SASSIN) 20A, 2P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 pc.,good,1,,
"Circuit Breaker (SASSIN) 32A, 2P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 pc.,good,1,,
"Circuit Breaker (CHNT) 40A, 2P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 2 pcs.,good,2,,
"Circuit Breaker (CHNT) 32A, 2P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 pc.,good,1,,
"Circuit Breaker (WIN) 32A, 3P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 pc.,good,1,,
"Circuit Breaker (Mitsubishi) 20A, 2P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 2 pcs.,good,2,,
"Circuit Breaker (TXB) 32A, 2P (Unsure)",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 pc.,good,1,,
Anchor Grip,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 43 pcs.,good,43,,
LED Pilot Lights 220V,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 7 pcs.,good,7,,
LED Pilot Lights 440V,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 12 pcs.,good,12,,
Copper Coupling 3/4,system_reprocess_replacement_compressor,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 64 pcs.,good,64,,
Copper Coupling 7/8,system_reprocess_replacement_compressor,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 23 pcs.,good,23,,
Copper Coupling 5/8,system_reprocess_replacement_compressor,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 15 pcs.,good,15,,
Copper Coupling 1/2,system_reprocess_replacement_compressor,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 12 pcs.,good,12,,
Copper Elbow 7/8,system_reprocess_replacement_compressor,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 33 pcs.,good,33,,
